local_gs_id,source_gs_id,name,latitude,longitude,altitude_m
0,0,SatAnchor-0000-base,-0.113113,-99.971628,0.0
1,1,SatAnchor-0001-base,7.231128,-99.700749,0.0
2,2,SatAnchor-0002-base,14.577058,-99.4208,0.0
3,3,SatAnchor-0003-base,21.924154,-99.121358,0.0
4,4,SatAnchor-0004-base,29.272224,-98.789063,0.0
5,5,SatAnchor-0005-base,36.620558,-98.404919,0.0
6,6,SatAnchor-0006-base,43.968544,-97.939257,0.0
7,7,SatAnchor-0007-base,51.315177,-97.34122,0.0
8,8,SatAnchor-0008-base,58.658307,-96.513612,0.0
9,9,SatAnchor-0009-base,65.993916,-95.241954,0.0
10,10,SatAnchor-0010-base,73.311111,-92.938077,0.0
11,11,SatAnchor-0011-base,80.56508,-87.212152,0.0
12,12,SatAnchor-0012-base,87.207323,-51.191322,0.0
13,13,SatAnchor-0013-base,84.094723,59.256392,0.0
14,14,SatAnchor-0014-base,76.952654,70.92297,0.0
15,15,SatAnchor-0015-base,69.656106,74.353726,0.0
16,16,SatAnchor-0016-base,62.327505,76.020559,0.0
17,17,SatAnchor-0017-base,54.987278,77.030382,0.0
18,18,SatAnchor-0018-base,47.64211,77.726351,0.0
19,19,SatAnchor-0019-base,40.294684,78.249816,0.0
20,20,SatAnchor-0020-base,32.946319,78.670037,0.0
21,21,SatAnchor-0021-base,25.598089,79.025371,0.0
22,22,SatAnchor-0022-base,18.250402,79.3393,0.0
23,23,SatAnchor-0023-base,10.903905,79.627561,0.0
24,24,SatAnchor-0024-base,3.558829,79.90178,0.0
25,25,SatAnchor-0025-base,-3.784586,80.171579,0.0
26,26,SatAnchor-0026-base,-11.125961,80.445941,0.0
27,27,SatAnchor-0027-base,-18.465089,80.734489,0.0
28,28,SatAnchor-0028-base,-25.801875,81.048883,0.0
29,29,SatAnchor-0029-base,-33.13585,81.404906,0.0
30,30,SatAnchor-0030-base,-40.466829,81.826117,0.0
31,31,SatAnchor-0031-base,-47.794057,82.351024,0.0
32,32,SatAnchor-0032-base,-55.116492,83.049131,0.0
33,33,SatAnchor-0033-base,-62.431863,84.062341,0.0
34,34,SatAnchor-0034-base,-69.733814,85.735116,0.0
35,35,SatAnchor-0035-base,-77.002351,89.178447,0.0
36,36,SatAnchor-0036-base,-84.115036,100.884237,0.0
37,37,SatAnchor-0037-base,-87.212097,-148.856009,0.0
38,38,SatAnchor-0038-base,-80.600296,-112.77229,0.0
39,39,SatAnchor-0039-base,-73.374953,-107.025608,0.0
40,40,SatAnchor-0040-base,-66.085147,-104.713364,0.0
41,41,SatAnchor-0041-base,-58.775349,-103.4373,0.0
42,42,SatAnchor-0042-base,-51.456026,-102.607022,0.0
43,43,SatAnchor-0043-base,-44.130914,-102.007236,0.0
44,44,SatAnchor-0044-base,-36.80178,-101.540386,0.0
45,45,SatAnchor-0045-base,-29.469258,-101.155416,0.0
46,46,SatAnchor-0046-base,-22.133803,-100.822553,0.0
47,47,SatAnchor-0047-base,-14.795882,-100.522735,0.0
48,48,SatAnchor-0048-base,-7.45549,-100.242568,0.0
49,49,SatAnchor-0049-base,3.558841,-69.836738,0.0
50,50,SatAnchor-0050-base,10.903914,-69.562512,0.0
51,51,SatAnchor-0051-base,18.250421,-69.274258,0.0
52,52,SatAnchor-0052-base,25.598108,-68.960329,0.0
53,53,SatAnchor-0053-base,32.946333,-68.604995,0.0
54,54,SatAnchor-0054-base,40.294698,-68.184768,0.0
