local_gs_id,name,longitude,timezone_offset_hours,reference_utc_hour,local_hour,activity
0,SatAnchor-0000-base,-99.971628,0,0,0,1.000000000
1,SatAnchor-0001-base,-99.700749,0,0,0,1.000000000
2,SatAnchor-0002-base,-99.4208,0,0,0,1.000000000
3,SatAnchor-0003-base,-99.121358,0,0,0,1.000000000
4,SatAnchor-0004-base,-98.789063,0,0,0,1.000000000
5,SatAnchor-0005-base,-98.404919,0,0,0,1.000000000
6,SatAnchor-0006-base,-97.939257,0,0,0,1.000000000
7,SatAnchor-0007-base,-97.34122,0,0,0,1.000000000
8,SatAnchor-0008-base,-96.513612,0,0,0,1.000000000
9,SatAnchor-0009-base,-95.241954,0,0,0,1.000000000
10,SatAnchor-0010-base,-92.938077,0,0,0,1.000000000
11,SatAnchor-0011-base,-87.212152,0,0,0,1.000000000
12,SatAnchor-0012-base,-51.191322,0,0,0,1.000000000
13,SatAnchor-0013-base,59.256392,0,0,0,1.000000000
14,SatAnchor-0014-base,70.92297,0,0,0,1.000000000
15,SatAnchor-0015-base,74.353726,0,0,0,1.000000000
16,SatAnchor-0016-base,76.020559,0,0,0,1.000000000
17,SatAnchor-0017-base,77.030382,0,0,0,1.000000000
18,SatAnchor-0018-base,77.726351,0,0,0,1.000000000
19,SatAnchor-0019-base,78.249816,0,0,0,1.000000000
20,SatAnchor-0020-base,78.670037,0,0,0,1.000000000
21,SatAnchor-0021-base,79.025371,0,0,0,1.000000000
22,SatAnchor-0022-base,79.3393,0,0,0,1.000000000
23,SatAnchor-0023-base,79.627561,0,0,0,1.000000000
24,SatAnchor-0024-base,79.90178,0,0,0,1.000000000
25,SatAnchor-0025-base,80.171579,0,0,0,1.000000000
26,SatAnchor-0026-base,80.445941,0,0,0,1.000000000
27,SatAnchor-0027-base,80.734489,0,0,0,1.000000000
28,SatAnchor-0028-base,81.048883,0,0,0,1.000000000
29,SatAnchor-0029-base,81.404906,0,0,0,1.000000000
30,SatAnchor-0030-base,81.826117,0,0,0,1.000000000
31,SatAnchor-0031-base,82.351024,0,0,0,1.000000000
