local_gs_id,source_gs_id,name,latitude,longitude,altitude_m
0,0,SatAnchor-0000-base,-0.079355,-100.027314,0.0
1,1,SatAnchor-0001-base,23.46706,-80.858409,0.0
2,2,SatAnchor-0002-base,43.720669,-53.819288,0.0
3,3,SatAnchor-0003-base,52.980825,-9.967454,0.0
4,4,SatAnchor-0004-base,43.720656,33.884364,0.0
5,5,SatAnchor-0005-base,23.467053,60.923457,0.0
6,6,SatAnchor-0006-base,-0.079359,80.092369,0.0
7,7,SatAnchor-0007-base,-23.596866,99.264874,0.0
8,8,SatAnchor-0008-base,-43.775567,126.295334,0.0
9,9,SatAnchor-0009-base,-52.980825,170.032505,0.0
10,10,SatAnchor-0010-base,-43.775577,-146.23032,0.0
11,11,SatAnchor-0011-base,-23.596885,-119.199847,0.0
12,12,SatAnchor-0012-base,11.852077,-54.862098,0.0
13,13,SatAnchor-0013-base,34.327797,-32.974436,0.0
14,14,SatAnchor-0014-base,50.456626,2.00659,0.0
15,15,SatAnchor-0015-base,50.456619,50.058487,0.0
16,16,SatAnchor-0016-base,34.327783,85.039496,0.0
17,17,SatAnchor-0017-base,11.852076,106.927144,0.0
18,18,SatAnchor-0018-base,-12.003416,125.258662,0.0
19,19,SatAnchor-0019-base,-34.423908,147.149759,0.0
20,20,SatAnchor-0020-base,-50.473315,-177.917016,0.0
21,21,SatAnchor-0021-base,-50.473322,-130.017978,0.0
22,22,SatAnchor-0022-base,-34.423925,-95.084737,0.0
23,23,SatAnchor-0023-base,-12.003409,-73.193605,0.0
24,24,SatAnchor-0024-base,-0.079355,-28.027316,0.0
25,25,SatAnchor-0025-base,23.46706,-8.858404,0.0
26,26,SatAnchor-0026-base,43.720669,18.180712,0.0
27,27,SatAnchor-0027-base,52.980825,62.03255,0.0
28,28,SatAnchor-0028-base,43.720656,105.884366,0.0
29,29,SatAnchor-0029-base,23.467053,132.923459,0.0
30,30,SatAnchor-0030-base,-0.079359,152.092371,0.0
31,31,SatAnchor-0031-base,-23.596866,171.264876,0.0
32,32,SatAnchor-0032-base,-43.775567,-161.70466,0.0
33,33,SatAnchor-0033-base,-52.980825,-117.967489,0.0
34,34,SatAnchor-0034-base,-43.775577,-74.230311,0.0
35,35,SatAnchor-0035-base,-23.596885,-47.199848,0.0
36,36,SatAnchor-0036-base,11.852077,17.137904,0.0
37,37,SatAnchor-0037-base,34.327797,39.025566,0.0
38,38,SatAnchor-0038-base,50.456626,74.006595,0.0
39,39,SatAnchor-0039-base,50.456619,122.058486,0.0
40,40,SatAnchor-0040-base,34.327783,157.039504,0.0
41,41,SatAnchor-0041-base,11.852076,178.927146,0.0
42,42,SatAnchor-0042-base,-12.003416,-162.741346,0.0
43,43,SatAnchor-0043-base,-34.423908,-140.850235,0.0
44,44,SatAnchor-0044-base,-50.473315,-105.917007,0.0
45,45,SatAnchor-0045-base,-50.473322,-58.01797,0.0
46,46,SatAnchor-0046-base,-34.423925,-23.084735,0.0
47,47,SatAnchor-0047-base,-12.003409,-1.193603,0.0
48,48,SatAnchor-0048-base,-0.079355,43.972686,0.0
49,49,SatAnchor-0049-base,23.46706,63.141595,0.0
50,50,SatAnchor-0050-base,43.720669,90.180716,0.0
51,51,SatAnchor-0051-base,52.980825,134.032545,0.0
52,52,SatAnchor-0052-base,43.720656,177.884368,0.0
53,53,SatAnchor-0053-base,23.467053,-155.076535,0.0
54,54,SatAnchor-0054-base,-0.079359,-135.907637,0.0
55,55,SatAnchor-0055-base,-23.596866,-116.735118,0.0
56,56,SatAnchor-0056-base,-43.775567,-89.704658,0.0
57,57,SatAnchor-0057-base,-52.980825,-45.967491,0.0
58,58,SatAnchor-0058-base,-43.775577,-2.230311,0.0
59,59,SatAnchor-0059-base,-23.596885,24.800156,0.0
60,60,SatAnchor-0060-base,11.852077,89.137903,0.0
61,61,SatAnchor-0061-base,34.327797,111.025572,0.0
62,62,SatAnchor-0062-base,50.456626,146.006591,0.0
63,63,SatAnchor-0063-base,50.456619,-165.941509,0.0
64,64,SatAnchor-0064-base,34.327783,-130.960504,0.0
65,65,SatAnchor-0065-base,11.852076,-109.072848,0.0
66,66,SatAnchor-0066-base,-12.003416,-90.741338,0.0
67,67,SatAnchor-0067-base,-34.423908,-68.85024,0.0
68,68,SatAnchor-0068-base,-50.473315,-33.917005,0.0
69,69,SatAnchor-0069-base,-50.473322,13.982031,0.0
70,70,SatAnchor-0070-base,-34.423925,48.915267,0.0
71,71,SatAnchor-0071-base,-12.003409,70.806399,0.0
72,72,SatAnchor-0072-base,-0.079355,115.972692,0.0
73,73,SatAnchor-0073-base,23.46706,135.141604,0.0
74,74,SatAnchor-0074-base,43.720669,162.180711,0.0
75,75,SatAnchor-0075-base,52.980825,-153.967449,0.0
76,76,SatAnchor-0076-base,43.720656,-110.115634,0.0
77,77,SatAnchor-0077-base,23.467053,-83.076533,0.0
78,78,SatAnchor-0078-base,-0.079359,-63.907628,0.0
79,79,SatAnchor-0079-base,-23.596866,-44.735116,0.0
80,80,SatAnchor-0080-base,-43.775567,-17.704655,0.0
81,81,SatAnchor-0081-base,-52.980825,26.032511,0.0
82,82,SatAnchor-0082-base,-43.775577,69.769693,0.0
83,83,SatAnchor-0083-base,-23.596885,96.800159,0.0
84,84,SatAnchor-0084-base,11.852077,161.137891,0.0
85,85,SatAnchor-0085-base,34.327797,-176.974436,0.0
86,86,SatAnchor-0086-base,50.456626,-141.993417,0.0
87,87,SatAnchor-0087-base,50.456619,-93.94152,0.0
88,88,SatAnchor-0088-base,34.327783,-58.960508,0.0
89,89,SatAnchor-0089-base,11.852076,-37.072863,0.0
90,90,SatAnchor-0090-base,-12.003416,-18.741351,0.0
91,91,SatAnchor-0091-base,-34.423908,3.149752,0.0
92,92,SatAnchor-0092-base,-50.473315,38.082983,0.0
93,93,SatAnchor-0093-base,-50.473322,85.982021,0.0
94,94,SatAnchor-0094-base,-34.423925,120.915249,0.0
95,95,SatAnchor-0095-base,-12.003409,142.806387,0.0
96,96,SatAnchor-0096-base,-0.079355,-172.027316,0.0
97,97,SatAnchor-0097-base,23.46706,-152.858404,0.0
98,98,SatAnchor-0098-base,43.720669,-125.819284,0.0
99,99,SatAnchor-0099-base,52.980825,-81.967447,0.0
100,100,SatAnchor-0100-base,43.720656,-38.115628,0.0
101,101,SatAnchor-0101-base,23.467053,-11.076534,0.0
102,102,SatAnchor-0102-base,-0.079359,8.092374,0.0
103,103,SatAnchor-0103-base,-23.596866,27.264886,0.0
104,104,SatAnchor-0104-base,-43.775567,54.295346,0.0
105,105,SatAnchor-0105-base,-52.980825,98.03251,0.0
106,106,SatAnchor-0106-base,-43.775577,141.769688,0.0
107,107,SatAnchor-0107-base,-23.596885,168.800161,0.0
108,108,SatAnchor-0108-base,11.852077,-126.862103,0.0
109,109,SatAnchor-0109-base,34.327797,-104.974441,0.0
110,110,SatAnchor-0110-base,50.456626,-69.993415,0.0
111,111,SatAnchor-0111-base,50.456619,-21.941518,0.0
112,112,SatAnchor-0112-base,34.327783,13.039492,0.0
113,113,SatAnchor-0113-base,11.852076,34.927139,0.0
114,114,SatAnchor-0114-base,-12.003416,53.258653,0.0
115,115,SatAnchor-0115-base,-34.423908,75.149751,0.0
116,116,SatAnchor-0116-base,-50.473315,110.082985,0.0
117,117,SatAnchor-0117-base,-50.473322,157.982016,0.0
118,118,SatAnchor-0118-base,-34.423925,-167.084746,0.0
119,119,SatAnchor-0119-base,-12.003409,-145.193607,0.0
