flow_id,src_local_id,src_name,src_anchor_sat,src_latitude,src_longitude,dst_local_id,dst_name,dst_anchor_sat,dst_latitude,dst_longitude,distance_km,size_byte,start_time_ns
0,0,SatAnchor-0000-base,0,-0.079355,-100.027314,1,SatAnchor-0001-base,1,23.46706,-80.858409,3337.733,10000000,0
1,0,SatAnchor-0000-base,0,-0.079355,-100.027314,2,SatAnchor-0002-base,2,43.720669,-53.819288,6677.627,10000000,0
2,0,SatAnchor-0000-base,0,-0.079355,-100.027314,3,SatAnchor-0003-base,3,52.980825,-9.967454,10018.596,10000000,0
3,0,SatAnchor-0000-base,0,-0.079355,-100.027314,4,SatAnchor-0004-base,4,43.720656,33.884364,13359.565,10000000,0
4,0,SatAnchor-0000-base,0,-0.079355,-100.027314,5,SatAnchor-0005-base,5,23.467053,60.923457,16699.457,10000000,0
5,0,SatAnchor-0000-base,0,-0.079355,-100.027314,6,SatAnchor-0006-base,6,-0.079359,80.092369,19992.983,10000000,0
6,0,SatAnchor-0000-base,0,-0.079355,-100.027314,7,SatAnchor-0007-base,7,-23.596866,99.264874,16658.215,10000000,0
7,0,SatAnchor-0000-base,0,-0.079355,-100.027314,8,SatAnchor-0008-base,8,-43.775567,126.295334,13326.412,10000000,0
8,0,SatAnchor-0000-base,0,-0.079355,-100.027314,9,SatAnchor-0009-base,9,-52.980825,170.032505,9996.493,10000000,0
9,0,SatAnchor-0000-base,0,-0.079355,-100.027314,10,SatAnchor-0010-base,10,-43.775577,-146.23032,6666.575,10000000,0
10,0,SatAnchor-0000-base,0,-0.079355,-100.027314,11,SatAnchor-0011-base,11,-23.596885,-119.199847,3334.772,10000000,0
11,0,SatAnchor-0000-base,0,-0.079355,-100.027314,12,SatAnchor-0012-base,12,11.852077,-54.862098,5158.310,10000000,0
12,0,SatAnchor-0000-base,0,-0.079355,-100.027314,13,SatAnchor-0013-base,13,34.327797,-32.974436,7924.301,10000000,0
13,0,SatAnchor-0000-base,0,-0.079355,-100.027314,14,SatAnchor-0014-base,14,50.456626,2.00659,10862.585,10000000,0
14,0,SatAnchor-0000-base,0,-0.079355,-100.027314,15,SatAnchor-0015-base,15,50.456619,50.058487,13740.005,10000000,0
15,0,SatAnchor-0000-base,0,-0.079355,-100.027314,16,SatAnchor-0016-base,16,34.327783,85.039496,16170.456,10000000,0
16,0,SatAnchor-0000-base,0,-0.079355,-100.027314,17,SatAnchor-0017-base,17,11.852076,106.927144,16764.615,10000000,0
17,0,SatAnchor-0000-base,0,-0.079355,-100.027314,18,SatAnchor-0018-base,18,-12.003416,125.258662,14840.501,10000000,0
18,0,SatAnchor-0000-base,0,-0.079355,-100.027314,19,SatAnchor-0019-base,19,-34.423908,147.149759,12077.212,10000000,0
19,0,SatAnchor-0000-base,0,-0.079355,-100.027314,20,SatAnchor-0020-base,20,-50.473315,-177.917016,9147.466,10000000,0
20,0,SatAnchor-0000-base,0,-0.079355,-100.027314,21,SatAnchor-0021-base,21,-50.473322,-130.017978,6279.811,10000000,0
21,0,SatAnchor-0000-base,0,-0.079355,-100.027314,22,SatAnchor-0022-base,22,-34.423925,-95.084737,3853.443,10000000,0
22,0,SatAnchor-0000-base,0,-0.079355,-100.027314,23,SatAnchor-0023-base,23,-12.003409,-73.193605,3244.604,10000000,0
